,Type of Accomodation,Address,Room Type,Number of Rooms,Free cancellation cleaned,Travelers,Bathrooms,Rating,Number of comments,Price per night,Host,Host experience,Extracted Region,Top Keywords
147,chalet ," Le Menil, France",Room,2,yes,5,1.0,4.91,132.0,171.0,Yves,depuis 9 ans,Grand Est,"sauna, spa, calme"
148,maison d'hôtes ," Fosses, France",Room,1,no,2,1.0,4.92,288.0,230.0,Robin,depuis 3 ans,Île-de-France,"propre, spa, cocooning"
149,appartement en résidence ," Saint-Florent, France",Room,1,no,4,1.0,4.92,72.0,70.0,Alain,depuis 3 ans,Centre-Val de Loire,"vue, plage, piscine"
150,appartement ," Guebwiller, France",Room,4,yes,14,3.0,5.0,10.0,287.0,Hugo,depuis 2 ans,Grand Est,"propre, grand, retrouver"
151,appartement ," Saint-Honoré, France",Room,2,no,6,2.0,4.97,71.0,77.0,Dorian,depuis 2 ans,Normandie,"vue, terrasse, calme"
152,maison de ville ," La Rivière-Saint-Sauveur, France",Room,1,no,2,1.0,4.84,147.0,145.0,Alexandre,,Normandie,"alexandre, propre, calme"
153,appartement ," La Bresse, France",Room,1,no,4,1.0,4.56,86.0,173.0,Sarl,depuis 2 ans,Grand Est,"vue, terrasse, accueillante"
154,appartement ," Carnoux-en-Provence, France",Room,1,yes,4,1.0,4.93,44.0,63.0,Zen Vacances,4 mois,Provence-Alpes-Côte d'Azur,"attention, calme, propre"
155,hébergement ," Arné, France",Room,2,yes,6,1.0,5.0,7.0,105.0,Fatima Et Jean Pierre,,Occitanie,"piscine, propre, accueillant"
156,appartement ," Cargèse, France",Room,1,yes,3,1.0,5.0,11.0,88.0,Agathe,depuis 2 ans,Corse,"plage, vue, terrasse"
157,hébergement ," Campan, France",Room,2,no,6,1.0,5.0,5.0,100.0,Clément,depuis 9 ans,Occitanie,"grand, cosy, attention"
158,hébergement ," Beaudean, France",Room,2,yes,4,2.0,5.0,42.0,61.0,Sylvie,depuis 10 ans,Occitanie,"accueillante, équipée, cuisine"
159,appartement ," Orbey, France",Room,1,no,2,1.0,5.0,203.0,85.0,Margaux,depuis 5 ans,Grand Est,"attention, grand, propre"
160,appartement ," Porto-Vecchio, France",Room,3,yes,6,1.0,4.93,14.0,45.0,Léo,5 mois,Corse,"parking, terrasse, montagne"
161,suite ," Presles, France",Room,1,no,2,1.0,4.91,78.0,126.0,Charlène,depuis 2 ans,Auvergne-Rhône-Alpes,"accueillante, studio, propre"
162,appartement ," Blonville-sur-Mer, France",Room,1,no,2,1.0,4.62,119.0,96.0,Gaëlle Et Arthur,depuis 4 ans,Normandie,"plage, remou, atypique"
163,appartement ," Varces-Allières-et-Risset, France",Room,2,yes,6,1.0,4.99,290.0,80.0,Léo,depuis 3 ans,Auvergne-Rhône-Alpes,"terrasse, montagne, grand"
164,hébergement ," Létricourt, France",Room,1,no,2,1.0,,1.0,30.0,Jeannine Et Baptiste,depuis 10 ans,Grand Est,"satisfaire, accueillant, accueillante"
165,hébergement ," Vaux-Montreuil, France",Room,3,no,6,2.0,4.88,17.0,113.0,François,6 mois,Grand Est,"propre, équipée, bois"
166,hébergement ," Sartrouville, France",Room,1,yes,2,1.0,4.92,36.0,176.0,Stephane,3 mois,Île-de-France,"propre, décoration, chaude"
167,hébergement ," Eppe-Sauvage, France",Room,1,no,4,1.0,4.88,8.0,39.0,Agence COCOONR / BOOK&PAY,depuis 5 ans,Hauts-de-France,"nature, chaude, cabane"
168,appartement ," Denain, France",Room,1,no,2,1.0,4.98,121.0,139.0,Anthony,9 mois,Hauts-de-France,"propre, attention, grand"
169,hébergement ," La Garde, France",Room,1,no,2,1.0,5.0,59.0,67.0,William,5 mois,Auvergne-Rhône-Alpes,"déjeuner, studio, nature"
170,maison d'hôtes ," Sermaise, France",Room,1,no,2,1.0,4.75,161.0,40.0,Sylvie,depuis 3 ans,Pays de la Loire,"studio, calme, charme"
171,hébergement ," Mallièvre, France",Room,1,no,4,1.0,4.72,713.0,,Cindy Et Guillaume,depuis 7 ans,Pays de la Loire,"sauna, calme, propre"
172,appartement ," Rennes, France",Room,1,yes,2,1.0,4.85,48.0,109.0,Léa & Mélinda,depuis 3 ans,Bretagne,"chaude, studio, calme"
173,appartement ," Le Beausset, France",Room,1,yes,2,1.0,4.96,80.0,41.0,Astrid,,Provence-Alpes-Côte d'Azur,"propre, terrasse, parking"
174,hébergement ," Valenciennes, France",Room,1,no,2,1.0,4.86,160.0,99.0,Gaétan,depuis 2 ans,Hauts-de-France,"attention, propre, parc"
175,appartement ," Chartres, France",Room,1,no,2,1.0,4.78,378.0,95.0,Claudia,depuis 4 ans,Centre-Val de Loire,"propre, chaude, grand"
176,hébergement ," Valenciennes, France",Room,1,no,2,1.0,4.86,160.0,99.0,Gaétan,depuis 2 ans,Hauts-de-France,"attention, propre, parc"
177,hébergement ," Muhlbach-sur-Munster, France",Room,1,yes,4,1.0,4.96,53.0,81.0,Laurence,depuis 5 ans,Grand Est,"calme, confortable, propre"
178,Chambre privée dans : chambre d'hôtes ," Plélo, France",Room,1,no,2,1.0,4.95,658.0,31.0,Rachel,depuis 9 ans,Bretagne,"déjeuner, studio, propre"
179,chalet ," Sapois, France",Room,2,yes,6,1.0,4.98,148.0,83.0,Sebastien,depuis 9 ans,Grand Est,"vue, cabane, confortable"
180,chalet ," Les Rousses, France",Room,3,no,14,0.0,4.84,482.0,55.0,Maxime,depuis 8 ans,Bourgogne-Franche-Comté,"nature, vue, bois"
181,appartement ," Chartres, France",Room,1,no,2,1.0,4.98,57.0,144.0,Alexandre,depuis 5 ans,Centre-Val de Loire,"alexandre, calme, propre"
182,Grange ," Astugue, France",Room,1,yes,4,1.0,4.9,469.0,47.0,David,depuis 5 ans,Occitanie,"vue, calme, propre"
183,appartement ," Erstein, France",Room,1,yes,2,1.0,4.92,13.0,151.0,Black Room Spa,1 mois,Grand Est,"propre, retrouver, spacieux"
184,Péniche ," Plobsheim, France",Room,1,no,2,1.0,4.97,107.0,130.0,Florian,,Grand Est,"calme, remou, expérience"
185,suite ," Marais-Vernier, France",Room,1,yes,2,1.0,4.94,154.0,53.0,Monika,depuis 5 ans,Normandie,"piscine, calme, vue"
186,logement de vacances ," Six-Fours-les-Plages, France",Room,1,no,4,1.0,4.91,173.0,72.0,Raphaël,depuis 3 ans,Provence-Alpes-Côte d'Azur,"vue, plage, studio"
187,cottage ," Buxières-les-Mines, France",Room,2,yes,2,1.0,4.97,238.0,58.0,Martine,depuis 7 ans,Auvergne-Rhône-Alpes,"attention, calme, accueillante"
188,Tiny house ," Marais-Vernier, France",Room,1,yes,2,1.0,4.91,265.0,63.0,Monika,depuis 5 ans,Normandie,"piscine, vue, calme"
189,Tiny house ," Saint-Julien-le-Roux, France",Room,2,yes,3,1.0,4.98,106.0,83.0,Noémie,depuis 3 ans,Auvergne-Rhône-Alpes,"vue, nature, terrasse"
190,logement de vacances ," Six-Fours-les-Plages, France",Room,1,no,4,1.0,4.91,173.0,72.0,Raphaël,depuis 3 ans,Provence-Alpes-Côte d'Azur,"vue, plage, studio"
191,appartement ," Saint-Laurent-en-Grandvaux, France",Room,1,yes,2,1.0,4.9,30.0,40.0,Germain,6 mois,Bourgogne-Franche-Comté,"piscine, propre, calme"
192,hébergement ," Corrombles, France",Room,1,no,4,1.0,4.92,291.0,60.0,Linda,depuis 6 ans,Bourgogne-Franche-Comté,"calme, confortable, accueillante"
193,cottage ," Buxières-les-Mines, France",Room,2,yes,2,1.0,4.97,238.0,58.0,Martine,depuis 7 ans,Auvergne-Rhône-Alpes,"attention, calme, accueillante"
194,logement de vacances ," Miribel-les-Échelles, France",Room,1,no,4,1.0,4.99,73.0,72.0,Myriam,depuis 2 ans,Auvergne-Rhône-Alpes,"vue, accueillante, propre"
195,appartement ," Rouen, France",Room,1,yes,2,1.0,4.88,448.0,150.0,Stephanie,depuis 3 ans,Normandie,"propre, déjeuner, spa"
196,appartement ," Montlignon, France",Room,1,no,2,1.0,4.82,28.0,,Benjamin,depuis 10 ans,Île-de-France,"parking, confortable, calme"
197,chalet ," Canavaggia, France",Room,1,yes,2,1.0,4.88,65.0,45.0,Mélissa,depuis 2 ans,Corse,"vue, montagne, coucher"
198,appartement ," Roquebrune-Cap-Martin, France",Room,1,no,2,1.0,4.74,306.0,63.0,Nicolas,depuis 6 ans,Provence-Alpes-Côte d'Azur,"château, vue, terrasse"
199,hébergement ," La Chapelle-des-Pots, France",Room,1,no,4,1.0,4.94,417.0,41.0,Angélina,depuis 4 ans,Nouvelle-Aquitaine,"calme, propre, accueillante"
200,hébergement ," Bruniquel, France",Room,1,yes,4,1.0,4.97,74.0,87.0,Carine Et Willy,depuis 3 ans,Occitanie,"grand, propre, terrain"
201,appartement ," Rouen, France",Room,1,yes,2,1.0,4.96,81.0,148.0,Anthony,,Normandie,"sauna, propre, chaude"
202,chalet ," Saint-Michel-sur-Meurthe, France",Room,1,no,4,1.0,4.66,32.0,80.0,Vincent,depuis 4 ans,Grand Est,"vue, calme, chaude"
203,chalet ," Sainte-Agnés, France",Room,1,no,2,1.0,4.89,393.0,62.0,Rachel Et Aurélien,depuis 8 ans,Auvergne-Rhône-Alpes,"vue, montagne, calme"
204,maison de ville ," Fumel, France",Room,1,yes,2,1.0,4.78,,32.0,Jean Louis,depuis 6 ans,Nouvelle-Aquitaine,"accueillant, accueillante, aimable"
205,hébergement ," Les Pieux, France",Room,2,yes,4,1.0,4.98,81.0,70.0,Marie-Line,depuis 2 ans,Normandie,"vue, plage, terrasse"
206,hébergement ," Les Pieux, France",Room,2,yes,4,1.0,4.98,81.0,70.0,Marie-Line,depuis 2 ans,Normandie,"vue, plage, terrasse"
207,appartement ," Trouville-sur-Mer, France",Studio,0,no,2,1.0,,2.0,125.0,Jennifer,depuis 7 ans,Normandie,"accueillant, accueillante, aimable"
208,appartement ," La Penne, France",Room,1,no,2,1.0,4.96,94.0,104.0,Yannick,depuis 7 ans,Provence-Alpes-Côte d'Azur,"vue, montagne, studio"
